iso	minutes	views	likes	comments	perMin
2026-08-22T15:40:54.466Z	5.8	68	0	1	
2026-08-22T15:43:54.842Z	8.8	116	0	1	16.0
2026-08-22T15:46:55.246Z	11.8	142	0	1	8.6
2026-08-22T15:49:55.641Z	14.8	145	0	1	1.0
2026-08-22T15:52:56.111Z	17.8	145	0	1	0.0
2026-08-22T15:55:56.507Z	20.8	218	1	1	24.3
2026-08-22T15:58:56.950Z	23.8	265	1	1	15.6
2026-08-22T16:01:57.375Z	26.8	278	1	1	4.3
2026-08-22T16:04:57.796Z	29.8	280	1	1	0.7
2026-08-22T16:07:58.127Z	32.8	280	1	1	0.0
2026-08-22T16:10:58.495Z	35.8	280	1	1	0.0
2026-08-22T16:13:58.855Z	38.8	280	1	1	0.0
2026-08-22T16:16:59.226Z	41.8	280	1	1	0.0
2026-08-22T16:19:59.658Z	44.8	280	1	1	0.0
2026-08-22T16:23:00.051Z	47.9	280	1	1	0.0
2026-08-22T16:26:10.678Z	ERR	TypeError: fetch failed
2026-08-22T16:29:11.031Z	54.0	280	1	1	0.0
2026-08-22T16:32:11.413Z	57.0	280	1	1	0.0
2026-08-22T16:35:11.779Z	60.0	280	1	1	0.0
2026-08-22T16:38:12.112Z	63.1	280	1	1	0.0
2026-08-22T16:41:12.481Z	66.1	280	1	1	0.0
2026-08-22T16:44:12.884Z	69.1	280	1	1	0.0
2026-08-22T16:47:13.276Z	72.1	280	1	1	0.0
2026-08-22T16:50:13.650Z	75.1	280	1	1	0.0
2026-08-22T16:53:14.044Z	78.1	280	1	1	0.0
2026-08-22T16:56:14.395Z	81.1	280	1	1	0.0
2026-08-22T16:59:14.773Z	84.1	280	1	1	0.0
2026-08-22T17:02:15.331Z	87.1	280	1	1	0.0
2026-08-22T17:05:15.709Z	90.1	280	1	1	0.0
2026-08-22T17:08:16.071Z	93.1	280	1	1	0.0
2026-08-22T17:11:16.453Z	96.1	280	1	1	0.0
2026-08-22T17:14:16.842Z	99.1	280	1	1	0.0
2026-08-22T17:17:17.217Z	102.1	280	1	1	0.0
2026-08-22T17:20:17.533Z	105.1	280	1	1	0.0
2026-08-22T17:23:17.911Z	108.1	280	1	1	0.0
2026-08-22T17:26:18.312Z	111.2	280	1	1	0.0
2026-08-22T17:29:18.684Z	114.2	280	1	1	0.0
2026-08-22T17:32:19.064Z	117.2	280	1	1	0.0
2026-08-22T17:35:19.439Z	120.2	280	1	1	0.0
2026-08-22T17:38:19.804Z	123.2	280	1	1	0.0
2026-08-22T17:41:20.197Z	126.2	280	1	1	0.0
2026-08-22T17:44:20.566Z	129.2	280	1	1	0.0
2026-08-22T17:47:20.951Z	132.2	280	1	1	0.0
2026-08-22T17:50:21.322Z	135.2	280	1	1	0.0
2026-08-22T17:53:21.744Z	138.2	280	1	1	0.0
2026-08-22T17:56:22.131Z	141.2	280	1	1	0.0
2026-08-22T17:59:22.488Z	144.2	280	1	1	0.0
2026-08-22T18:02:22.889Z	147.2	280	1	1	0.0
2026-08-22T18:05:23.289Z	150.2	280	1	1	0.0
2026-08-22T18:08:23.652Z	153.2	280	1	1	0.0
2026-08-22T18:11:34.245Z	ERR	TypeError: fetch failed
2026-08-22T18:14:34.638Z	159.4	280	1	1	0.0
